Product_Name,Category,Price,Units_Sold
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment ",Smartphone,78.3,1309
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment ",Smartphone,82.05,1341
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment ",Smartphone,89.49,1330
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment ",Smartphone,89.5,1332
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best",Smartphone,74.03,1523
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best",Smartphone,78.3,1411
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best",Smartphone,84.25,1516
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best",Smartphone,90.72,1306
"Redmi Note 11 (Horizon Blue, 6GB RAM, 64GB Storage)|90H",Smartphone,146.29,1116
"Redmi Note 11 (Horizon Blue, 6GB RAM, 64GB Storage)|90H",Smartphone,150.13,1218
"Redmi Note 11 (Horizon Blue, 6GB RAM, 64GB Storage)|90H",Smartphone,156.61,1011
"Redmi Note 11 (Horizon Blue, 6GB RAM, 64GB Storage)|90H",Smartphone,159.81,1167
"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90",Smartphone,128.71,1206
"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90",Smartphone,139.37,1042
"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90",Smartphone,150.79,976
"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90",Smartphone,156.61,925
"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90",Smartphone,178.41,821
"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB S",Smartphone,261.25,856
"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB S",Smartphone,277.1,789
"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB S",Smartphone,319.47,792
"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB S",Smartphone,320.67,700
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | ",Smartphone,103.95,1226
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | ",Smartphone,126.49,1015
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | ",Smartphone,128.71,1132
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | ",Smartphone,133.41,1014
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6",Smartphone,141.31,1060
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6",Smartphone,143.13,1195
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6",Smartphone,156.61,934
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6",Smartphone,183.79,867
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) ",Smartphone,164.68,972
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) ",Smartphone,168.66,887
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) ",Smartphone,177.47,954
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) ",Smartphone,190.77,822
"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Stor",Smartphone,289.14,980
"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Stor",Smartphone,294.63,1071
"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Stor",Smartphone,336.3,893
"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Stor",Smartphone,339.14,846
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 8GB RAM, 128GB St",Smartphone,229.68,1317
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 8GB RAM, 128GB St",Smartphone,240.95,1134
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 8GB RAM, 128GB St",Smartphone,243.26,1242
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 8GB RAM, 128GB St",Smartphone,253.0,1027
"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 8GB RAM, 128GB St",Smartphone,259.22,1032
"iQOO vivo Z6 5G (Chromatic Blue, 6GB RAM, 128GB Storage",Smartphone,188.73,890
"iQOO vivo Z6 5G (Chromatic Blue, 6GB RAM, 128GB Storage",Smartphone,198.78,800
"iQOO vivo Z6 5G (Chromatic Blue, 6GB RAM, 128GB Storage",Smartphone,212.88,849
"iQOO vivo Z6 5G (Chromatic Blue, 6GB RAM, 128GB Storage",Smartphone,220.92,830
"iQOO vivo Z6 5G (Chromatic Blue, 6GB RAM, 128GB Storage",Smartphone,225.05,825
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Heli",Smartphone,140.2,1028
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Heli",Smartphone,145.07,947
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Heli",Smartphone,148.64,918
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Heli",Smartphone,156.61,831
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Heli",Smartphone,180.85,731
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch ",Smartwatch,39.81,1231
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch ",Smartwatch,40.34,1255
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch ",Smartwatch,47.57,1057
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch ",Smartwatch,48.18,928
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch ",Smartwatch,53.5,895
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,20.88,1099
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,21.07,1086
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,21.67,978
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,22.26,1060
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,22.65,1163
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,23.57,950
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,24.45,1098
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with B",Smartwatch,25.32,894
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,39.76,1259
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,40.31,1232
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,45.68,1262
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,47.46,1038
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,48.18,1053
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,54.35,1056
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,55.84,854
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Sma",Smartwatch,56.18,919
Noise ColorFit Pro 4 Advanced Bluetooth Calling Smart W,Smartwatch,33.18,1140
Noise ColorFit Pro 4 Advanced Bluetooth Calling Smart W,Smartwatch,34.52,1072
Noise ColorFit Pro 4 Advanced Bluetooth Calling Smart W,Smartwatch,36.12,1012
Noise ColorFit Pro 4 Advanced Bluetooth Calling Smart W,Smartwatch,37.66,1042
Noise ColorFit Pro 4 Advanced Bluetooth Calling Smart W,Smartwatch,38.14,1037
Noise Pulse 2 Max Advanced Bluetooth Calling Smart Watc,Smartwatch,36.13,1062
Noise Pulse 2 Max Advanced Bluetooth Calling Smart Watc,Smartwatch,37.9,1169
Noise Pulse 2 Max Advanced Bluetooth Calling Smart Watc,Smartwatch,38.43,1113
Noise Pulse 2 Max Advanced Bluetooth Calling Smart Watc,Smartwatch,41.91,1057
"boAt Flash Edition Smart Watch with Activity Tracker, M",Smartwatch,21.67,903
"boAt Flash Edition Smart Watch with Activity Tracker, M",Smartwatch,23.2,948
"boAt Flash Edition Smart Watch with Activity Tracker, M",Smartwatch,24.61,903
"boAt Wave Call Smart Watch, Smart Talk with Advanced De",Smartwatch,21.67,760
"boAt Wave Call Smart Watch, Smart Talk with Advanced De",Smartwatch,23.2,770
Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen,Tablet,33.19,1191
Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen,Tablet,39.8,972
Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen,Tablet,40.33,1026
Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen,Tablet,44.5,919
Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen,Tablet,46.47,900
Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Ra,Tablet,270.95,679
Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Ra,Tablet,277.74,680
Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Ra,Tablet,325.29,539
Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Ra,Tablet,330.28,564
Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Ra,Tablet,335.93,532
